Checked,Status,id,label,Alternate title,Corporate Name,Personal Name,Place of Publication or Production,Publisher Name,Date of Publication or Production,Extent,Dimensions,Language,Notes,Narrative Summary,Keyword,Subject,Genre,Format,Rights Statement,Library Call Number,Link,Identifier
TRUE,,CSL00027,"Chicano Database Review, in ANSS Currents, Volume 19, Number 1, May 2004",ANSS Currents,,"Nalen, James","Chicago, Illinois",Association of College and Research Libraries. Anthropology & Sociology Section,2004,5 pages,8.5 x 11 inches,English,,"Review of the Chicano Database, in an issue of the ANSS Currents newsletter, May 2004. With a fax cover letter from Sharon Vaughn-Lahman to Lillian Castillo-Speed, May 26, 2004.",Chicano database,Chicano database,Reviews,text,,,,
TRUE,,CSL00028,OCLC Publicity Flier for the Chicano Database,,OCLC,,"Dublin, Ohio",OCLC,2007,2 pages,8.5 x 11 inches,English,,"Publicity flier for the Chicano Database in OCLC FirstSearch, describing features and ordering information for the database. The database migrated from Research Libraries Group’s Eureka service in 2007.",Publications|Chicano database,Chicano database,Advertisements,text,,,,
TRUE,,CSL00029,"Letter from Sally H. McCallum, Library of Congress, May 24, 1990",,"Library of Congress. Network Development and MARC Standards Office
","McCallum, Sally H.|Castillo-Speed, Lillian","Washington, D.C.",,1990,1 page,8.5 x 11 inches,English,,"Letter from Sally McCallum of the Library of Congress Network Development and MARC Standards Office to Lillian Castillo-Speed, concerning the establishment of an official MARC subject heading source code ""cht"" for the Chicano Thesaurus, enabling the thesaurus to be used alongside Library of Congress subject headings in machine-readable catalog records.",Thesaurus|Access tools,Chicano thesaurus,Letters,text,,,,
TRUE,,CSL00030,"Chicano Studies Library Newsletter (Volume 1, Number 2, June 1985)",CSL Newsletter,"University of California, Berkeley. Chicano Studies Library",,"Berkeley, California",,1985,4 pages,8.5 x 11 inches,English,,An issue of the Chicano Studies Library newsletter from June 1985.,History,"University of California, Berkeley. Chicano Studies Library",Newsletters,text,,,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991005424259706532,
TRUE,,CSL00031,"Chicano Studies Library Newsletter (Volume 3, Number 1, March 1987)",CSL Newsletter,"University of California, Berkeley. Chicano Studies Library","Castillo-Speed, Lillian|Soto, Carolyn","Berkeley, California",,1987,4 pages,8.5 x 11 inches,English,,An issue of the Chicano Studies Library newsletter from March 1987.,History,"University of California, Berkeley. Chicano Studies Library",Newsletters,text,,,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991005424259706532,
TRUE,,CSL00032,"Chicano Studies Library Newsletter (Volume 2, Number 1, February 1986)",CSL Newsletter,"University of California, Berkeley. Chicano Studies Library",,"Berkeley, California",,1986,5 pages,8.5 x 11 inches,English,,An issue of the Chicano Studies Library newsletter from February 1986.,History,"University of California, Berkeley. Chicano Studies Library",Newsletters,text,,,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991005424259706532,
TRUE,,CSL00033,"Chicano Studies Library Newsletter (Volume 4, Number 2, May 1989)",CSL Newsletter,"University of California, Berkeley. Chicano Studies Library","Castillo-Speed, Lillian|Soto, Carolyn","Berkeley, California",,1989,4 pages,8.5 x 11 inches,English,,An issue of the Chicano Studies Library newsletter from May 1989.,History,"University of California, Berkeley. Chicano Studies Library",Newsletters,text,,,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991005424259706532,
TRUE,,CSL00034,"Chicano Studies Library Newsletter (Volume 5, Number 1, February 1991)",CSL Newsletter,"University of California, Berkeley. Chicano Studies Library","Castillo-Speed, Lillian|Soto, Carolyn","Berkeley, California",,1991,5 pages,8.5 x 11 inches,English,,An issue of the Chicano Studies Library newsletter from February 1991.,History,"University of California, Berkeley. Chicano Studies Library",Newsletters,text,,,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991005424259706532,
TRUE,See also CSL00065 (earlier draft),CSL00035,Chicano Database Indexing Manual,Chicano Periodical Index Processing Manual,"University of California, Berkeley. Chicano Studies Library","Chabrán, Richard|García-Ayvens, Francisco, 1948-2018|Castillo-Speed, Lillian","Berkeley, California",,2003,9 pages,8.5 x 11 inches,English,,"A processing manual for the Chicano Periodical Index, compiled by Richard Chabrán and Francisco García-Ayvens, and subsequently revised by Lillian Castillo-Speed, including several handwritten annotations.",Chicano database|Serials,Chicano database|Chicano Periodical Indexing Project,Procedures (Documents),text,,,,
TRUE,,CSL00036,Chicano Database Worksheet - Books,,"University of California, Berkeley. Chicano Studies Library",,"Berkeley, California",,2003?,1 page,8.5 x 11 inches,English,,A blank template for creating entries for books in the Chicano Database,Chicano database,Chicano database,Blank forms,text,,,,
TRUE,,CSL00037,EBSCO Publicity Flier for Chicano Database,,EBSCO Industries,,"Birmingham, Alabama",EBSCO,2015,1 page,8.5 x 11 inches,English,,"An advertisement for the Chicano Database via EBSCO, including description of features and how to order. The database was first licensed by EBSCO in 2012.",Chicano database,Chicano database,Advertisements,text,,,,
TRUE,,CSL00038,Chicano Thesaurus Revision Project Sponsored by LAUC,List of LGBTIQ Terms Added to the Chicano Thesaurus,University of California (System). Librarians Association,,"Berkeley, California",,2007,3 pages,8.5 x 11 inches,English,,"List of terms relating to Lesbian, Gay, Bisexual, Intersex and Queer people, which were added to the Chicano Thesaurus as part of a revision project sponsored by the Librarians Association of the University of California (LUAC)",Chicano database|Thesaurus,Chicano thesaurus,Controlled vocabularies,text,,,,
TRUE,,CSL00039,LAUC Research Project to Revise the Chicano Thesaurus,List of Non Chicano People of Latino Heritage,University of California (System). Librarians Association,,"Berkeley, California",,2007,6 pages,8.5 x 11 inches,English,,"List of demographic terms for non-Chicano people of Latino heritage, whichi were added to the Chicano Thesaurus as part of a revision project sponsored by the Librarians Association of the University of California (LUAC)",Chicano database|Thesaurus,Chicano thesaurus,Controlled vocabularies,text,,,,
TRUE,,CSL00040,Chicano Database: Manufacturing Disc,"Chicano Database, July 2020",,,"Gilroy, California",Knowledge Access Publishing,2000,1 disc,5 x 5 inches,English,,"A CD-ROM disc for the Chicano Database, from July 2000",Chicano database|Technologies,Chicano database,CD-ROMs,CD-ROM,,,,
TRUE,,CSL00041,Chicano Studies Library Publications ,,"University of California, Berkeley. Chicano Studies Library",,"Berkeley, California",Chicano Studies Library Publications Unit,1991,4 pages,17 x 11 inches,English,,"Catalogue of publications available from the Chicano Studies Library Publications Unit, with an order form.",Publications ,"University of California, Berkeley. Chicano Studies Library. Publications Unit",Publishers' catalogs,text,,,,
TRUE,,CSL00042,Chicano Anthology Index Flier,,"University of California, Berkeley. Chicano Studies Library",,"Berkeley, California",Chicano Studies Library Publications Unit,1991,1 page,8.5 x 11 inches,English,,"Advertisement and order form for the Chicano Anthology Index, edited by Francisco García-Ayvens.",Publications,Chicano Anthology Index,Advertisements,text,,,,
TRUE,,CSL00043,"Chicano Studies, UC Berkeley, 1982-83",,"University of California, Berkeley. Chicano Studies Program
","Oropeza, Annette|Soto, Carolyn|García-Ayvens, Francisco, 1948-2018","Berkeley, California",Chicano Studies Library Publications Unit,1982,20 pages,8.5 x 5.5 inches,English,,"Bulletin for the Chicano Studies Program, 1982-1983. The bulletin includes course descriptions, major requirements, and department faculty and staff, and resources including the Chicano Studies Library. It was compiled by Annette Oropeza and produced by Francisco Garcia and Carolyn Soto and the Chicano Studies Library Publications Unit.",History,"University of California, Berkeley. Chicano Studies Program
",Course catalogs,text,,LC3681.C128 C432,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991051708699706532,
TRUE,,CSL00044,Chicano Studies Bulletin - Spring '71,,"University of California, Berkeley. Chicano Studies Program
",,"Berkeley, California",,1971,12 pages,8.5 x 5.5 inches,English,,"Course bulletin for the Chicano Studies Program for Spring 1971, including course descriptions, schedule of office hours, enrollment instructions, and available resources including the Chicano Studies Library.",History,"University of California, Berkeley. Chicano Studies Program
",Course catalogs,text,,LC3681.C128 C432,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991051708699706532,
TRUE,,CSL00045,Faculty Assessment of Chicano Library Collection,,"University of California, Berkeley. Chicano Studies Program|University of California, Berkeley. Department of Ethnic Studies","Trujillo, Larry, 1946-","Berkeley, California",,1976,3 pages,8.5 x 11 inches,English,,"Memorandum from Larry Trujillo, chair of the Library and Research Committee, to the Chicano Studies Faculty, November 18, 1976, regarding faculty assessment of the Chicano Studies Library collection and the creation of a collection development policy",History,"University of California, Berkeley. Chicano Studies Library",Letters,text,,,,
TRUE,,CSL00046,The Strike Explained,,Third World Liberation Front,"Delgado, Manuel","Berkeley, California",,1969,16 pages,,English,Second printing,Explanation of the Third World Liberation Front strike and demands for the Third World College at U.C. Berkeley.,TWLF,"Third World Liberation Front|Ethnic studies|University of California, Berkeley|Student strikes",Manifestos,text,,,,
TRUE,,CSL00047,No Progress Report - Updates on University's progress with TWLF,,Third World Liberation Front,"Delgado, Manuel","Berkeley, California",,1969,2 pages,8.5 x 11 inches,English,,"A journalism report by Manuel Delgado, February 10, 1969, regarding the University's lack of progress with TWLF negotiations.",TWLF,"Third World Liberation Front|Ethnic studies|University of California, Berkeley|Student strikes",Reports,text,,,,
TRUE,,CSL00048,TWLF protest photographs,,Third World Liberation Front,,"Berkeley, California",,1969,2 photographs,,,,"A photograph of protesters and onlookers gathered around Sather Gate on the U.C. Berkeley campus, and a photograph of protesters, police, and onlookers in front of a campus building, during the TWLF protests of 1969.",TWLF,"Third World Liberation Front|University of California, Berkeley|Student strikes",Photographs,image,,,,
TRUE,,CSL00049,TWLF protest photographs,,Third World Liberation Front,,"Berkeley, California",,1969,3 photographs,,,,"A photograph of a discarded issue of the Daily Californian, with headline ""Ethnic Studies College Planned,"" a photograph of police gathered in front of onlookers on the U.C. Berkeley campus with the Campanile in the background, and a photograph of protesters walking down a street, possibly in front of the ASUC Student Union building on Bancroft Way.",TWLF,"Third World Liberation Front|University of California, Berkeley|Student strikes",Photographs,image,,,,
TRUE,,CSL00050,Chicano Database on CD-ROM Advertisement,,"University of California, Berkeley. Chicano Studies Library",,"Berkeley, California",Chicano Studies Library Publications Unit,1991,5 pages,,English,,"Advertisement brochure for the Chicano Database on CD-ROM, including a description of the database contents, usage instructions, and an order form.",Chicano database|Technologies,Chicano database,Advertisements,text,,,,
TRUE,,CSL00051,"Letter from Virginia Pratt to Francisco Garcia-Ayvens, June 5, 1984",,"University of California, Berkeley. School of Library and Information Studies
","Pratt, Virginia|García-Ayvens, Francisco, 1948-2018|Chabrán, Richard","Berkeley, California",,1984,1 page,8.5 x 11 inches,English,,"Letter from Virginia Pratt to Francisco Garcia-Ayvens, June 5, 1984, and copied to Richard Chabrán, acknowledging receipt of a gift copy for the UC Berkeley Library School of Biblio-Política, edited by Francisco García-Ayvens and Richard Chabrán. The letter includes a handwritten note from Virginia to Richard.",Acknowledgements,Biblio-Política,Letters,text,,,,
TRUE,,CSL00052,Strike Demands,,Third World Liberation Front,,"Berkeley, California",,1969,1 page,8.5 x 11 inches,English,,"A list of strike demands from the Third World Liberation Front at U.C. Berkeley, January 1969. ",TWLF,"Third World Liberation Front|Ethnic studies|University of California, Berkeley|Student strikes",,text,,,,
TRUE,,CSL00053,"Letter from Chicano Center to Compass Newspaper, February 24, 1969",,"University of California, Berkeley. Chicano Center","Delgado, Manuel|Ramírez, Felix T.","Berkeley, California",,1969,1 page,8.5 x 11 inches,English,,"Letter from the Chicano Center at U.C. Berkeley, to the Compass Newspaper, February 24, 1969, requesting subscription and back copies of the newspaper ""Compass"" from Houston, Texas, for the development of the new Chicano Studies Library. Signed by Manuel Delgado, vice-chairman of the Mexican-American Student Confederation. With a handwritten reply from Felix T. Ramírez, editor, March 25, 1969.",History,"University of California, Berkeley. Chicano Studies Library|Compass (Houston, Tex.)",Letters,text,,,,
TRUE,,CSL00054,Chicano Thesaurus for Indexing Chicano Materials,Chicano Thesaurus,"University of California, Berkeley. Chicano Studies Library|University of California, Santa Barbara. Library. Colección Tloque Nahuaque|Committee for the Development of Subject Access to Chicano Literatures","Chabrán, Richard|Trujillo, Roberto G., 1951-|Yañez, Elva|Castro, Rafaela, 1943-|Treviño, Oscar|García-Ayvens, Francisco, 1948-2018","Santa Barbara, California","University of California, Berkeley. Chicano Studies Library.|University of California, Santa Barbara. Library. Colección Tloque Nahuaque",1979,104 pages,8.5 x 11 inches,English|Spanish,"First edition. Most of the approximately 700 entries are in English, although some are in Spanish","The Chicano Thesaurus, in its first edition, 1979, published jointly by the Chicano Studies Library at U.C. Berkeley, and the Colección Tloque Nahuaque at U.C. Santa Barbara. It was compiled by the Committee for the Development of Subject Access to Chicano Literatures: Richard Chabrán, Roberto G. Trujillo, Elva Yañez, Rafaela Castro, Francisco García, and Oscar Treviño. The thesaurus served as an indexing tool for the Chicano Periodical Indexing Project and for cataloging and indexing of other library collections related to Chicano literature and experience.",Chicano thesaurus,Chicano thesaurus|Access tools,Controlled vocabularies,text,,,https://search.library.berkeley.edu/permalink/01UCS_BER/1thfj9n/alma991020353179706532,
TRUE,,CSL00055,"Chicano Database Press Release, with Logo",Chicano Database Project,"University of California, Berkeley. Chicano Studies Library",,"Berkeley, California",,1983?,2 pages,8.5 x 11 inches,English,,A press release for the Chicano Database project including a description of the project and projections for its future.,Chicano database,Chicano database,Press releases,text,,,,
TRUE,,CSL00056,Proposal for the Establishment of a National Clearinghouse for Chicano Serials ,,"University of California, Berkeley. Chicano Studies Library","García-Ayvens, Francisco, 1948-2018","Berkeley, California",,1980,12 pages,8.5 x 11 inches,English,Preliminary draft,"A preliminary draft (for comment and review, December 12, 1980) of a proposal for the establishment of a national clearinghouse for Chicano Serials, including proposed plan and budget.",Serials,Chicano Periodical Indexing Project,Proposals,text,,,,
TRUE,See also CSL00069 (final version?),CSL00057,Chicano Information Management Consortium of CA: Draft,,"University of California, Berkeley. Chicano Studies Library|University of California, Santa Barbara. Library. Colección Tloque Nahuaque|University of California, Los Angeles. Chicano Research Library
","Castillo-Speed, Lillian|Chabrán, Richard|Güereña, Salvador",California,,1986?,4 pages,8.5 x 11 inches,English,Draft,"A draft description of the Chicano Information Management Consortium, a network between Chicano Studies Library of U.C. Berkeley, the Colección Tloque Nahuaque of U.C. Santa Barbara, and the Chicano Research Library of U.C.L.A.
",Networks,Chicano Information Management Consortium of California|Chicano studies,,text,,,,
TRUE,,CSL00058,"Letter from Thomas D. Holt, Vort Corporation, to Richard Chabrán, December 12, 1979",,Vort Corporation,"Holt, T. D. (Thomas D.)|Chabrán, Richard","Palo Alto, California",,1979,2 pages,8.5 x 11 inches,English,,"A letter from Thomas D. Holt, president Vort Corporation, to Richard Chabrán, December 12, 1979, describing a proposal and budget estimate for the company's systems and services related to the Chicano Periodical Indexing Project and a national directory.",Chicano database|Chicano Periodical Indexing Project,Chicano database|Chicano Periodical Indexing Project|Information storage and retrieval systems|Vort Corporation,Letters|Proposals,text,,,,
